Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
      188    3.67106e-05   1.96975e-03    8.25488e-05    1.58499e-02               18
      189    5.00527e-05   1.96969e-03    2.90027e-05    6.81219e-03               20
      190    4.07891e-05   1.96942e-03    1.38322e-04    1.54758e-02               17
      191    8.64560e-05   1.96924e-03    9.13375e-05    1.09620e-02               17
      192    5.15320e-05   1.96900e-03    1.22513e-04    1.43130e-02               19
      193    7.50183e-05   1.96869e-03    1.57562e-04    1.70852e-02               16
      194    2.61532e-05   1.96851e-03    9.01899e-05    9.00142e-03               21
      195    1.01730e-04   1.96826e-03    1.29288e-04    2.02505e-02               13
      196    2.36969e-05   1.96813e-03    6.33292e-05    1.72799e-02               20
      197    3.37188e-05   1.96773e-03    2.05558e-04    2.48808e-02               12
      198    5.30964e-05   1.96763e-03    4.90963e-05    9.46520e-03               18
      199    2.13657e-05   1.96727e-03    1.81372e-04    2.83292e-02               15
      200    3.09207e-05   1.96692e-03    1.80231e-04    2.21789e-02               12
      201    3.99478e-05   1.96676e-03    8.13834e-05    2.00630e-02               14
      202    1.65500e-05   1.96663e-03    6.63773e-05    1.11839e-02               18
      203    1.17864e-05   1.96641e-03    1.13450e-04    2.36772e-02               11
      204    1.51768e-05   1.96622e-03    9.65189e-05    2.14756e-02               11
      205    4.15188e-05   1.96605e-03    8.47149e-05    2.18163e-02               12
      206    2.30123e-05   1.96593e-03    6.30490e-05    1.19882e-02               19
      207    3.03434e-05   1.96579e-03    6.95550e-05    2.40971e-02               13
      208    3.67196e-05   1.96561e-03    8.92630e-05    1.55216e-02               16
      209    1.45934e-05   1.96549e-03    6.24736e-05    1.53154e-02               17
      210    7.27838e-05   1.96496e-03    2.69727e-04    3.43320e-02                9
      211    2.79973e-05   1.96482e-03    7.22044e-05    1.14736e-02               21
      212    2.01181e-05   1.96444e-03    1.93307e-04    2.63489e-02               12
      213    7.89754e-06   1.96436e-03    4.10596e-05    6.46348e-03               18
      214    1.21773e-05   1.96402e-03    1.70544e-04    2.34950e-02                9
      215    6.56281e-06   1.96393e-03    4.58432e-05    2.03007e-02               12
      216    1.29558e-05   1.96377e-03    8.45830e-05    2.21753e-02                9
      217    1.49078e-05   1.96368e-03    4.62136e-05    1.52766e-02               13
      218    2.00070e-05   1.96357e-03    5.43039e-05    1.98421e-02               12
      219    2.94869e-05   1.96347e-03    4.96301e-05    1.30199e-02               15
      220    2.90733e-05   1.96334e-03    6.83247e-05    2.18848e-02               14
      221    4.28154e-05   1.96309e-03    1.27274e-04    2.54553e-02               13
      222    1.37461e-05   1.96295e-03    7.15813e-05    1.01406e-02               19
      223    1.44222e-04   1.96259e-03    1.80513e-04    3.04809e-02                8
      224    2.61714e-05   1.96247e-03    6.52121e-05    1.36458e-02               22
      225    3.36979e-05   1.96221e-03    1.32108e-04    2.70275e-02               11
      226    7.03157e-06   1.96212e-03    4.41407e-05    7.24988e-03               19
      227    7.18437e-06   1.96182e-03    1.51275e-04    3.45275e-02                6
      228    8.57402e-06   1.96144e-03    1.96509e-04    3.50765e-02                7
      229    1.10605e-05   1.96137e-03    3.67681e-05    1.51720e-02               12
      230    9.48271e-06   1.96117e-03    1.00483e-04    2.87697e-02               10
      231    1.37484e-05   1.96080e-03    1.86171e-04    2.97721e-02                9
      232    1.12730e-05   1.96073e-03    3.76278e-05    1.09046e-02               15
      233    4.98125e-06   1.96069e-03    1.86993e-05    3.55888e-03               21
      234    1.59225e-05   1.96052e-03    8.92286e-05    3.42507e-02                7
      235    9.20281e-06   1.96040e-03    6.19408e-05    1.52799e-02               16
      236    5.98997e-06   1.96015e-03    1.23144e-04    2.58465e-02               11
      237    1.83779e-05   1.96005e-03    5.44963e-05    8.61529e-03               12
      238    3.02401e-06   1.95992e-03    6.68396e-05    1.52899e-02               14
      239    4.81258e-06   1.95964e-03    1.43614e-04    2.81838e-02                5
      240    2.06093e-05   1.95944e-03    1.01139e-04    2.43940e-02                8
      241    6.63003e-06   1.95941e-03    1.25284e-05    4.51613e-03               22
      242    5.75100e-06   1.95923e-03    9.13112e-05    1.93125e-02               10
      243    1.58861e-05   1.95918e-03    2.97862e-05    7.84976e-03               13
      244    4.39884e-06   1.95901e-03    8.50000e-05    2.46270e-02               12
      245    3.86926e-06   1.95869e-03    1.60939e-04    3.02296e-02                4
      246    7.19429e-06   1.95854e-03    7.87907e-05    2.53674e-02                6
      247    7.39086e-06   1.95829e-03    1.27432e-04    2.85316e-02                8
      248    5.23660e-06   1.95803e-03    1.30087e-04    3.11107e-02                7
      249    3.93783e-06   1.95771e-03    1.64883e-04    3.18657e-02                6
      250    3.88828e-06   1.95728e-03    2.19204e-04    4.29128e-02                3
      251    3.49013e-06   1.95686e-03    2.14509e-04    4.29354e-02                4
      252    5.60937e-06   1.95655e-03    1.58365e-04    2.41138e-02                5
      253    3.42527e-06   1.95630e-03    1.28086e-04    2.86573e-02                7
      254    4.18290e-06   1.95596e-03    1.77346e-04    4.34298e-02                2
      255    3.44721e-06   1.95572e-03    1.19447e-04    3.62896e-02                4
      256    3.59888e-06   1.95539e-03    1.68920e-04    3.82411e-02                4
      257    2.88622e-06   1.95513e-03    1.35542e-04    3.80710e-02                4
      258    2.60907e-06   1.95475e-03    1.95115e-04    3.13888e-02                3
      259    2.98933e-06   1.95437e-03    1.93835e-04    3.79578e-02                3
      260    3.55462e-06   1.95408e-03    1.43936e-04    3.19721e-02                3
      261    3.72190e-06   1.95389e-03    9.81575e-05    4.17448e-02                3
      262    3.90491e-06   1.95341e-03    2.46745e-04    4.79184e-02                2
      263    3.64908e-06   1.95314e-03    1.40626e-04    3.94969e-02                4
      264    3.97250e-06   1.95266e-03    2.45574e-04    4.58096e-02                2
      265    3.59978e-06   1.95216e-03    2.55400e-04    4.93166e-02                3
      266    3.04141e-06   1.95173e-03    2.21687e-04    3.12940e-02                2
      267    4.41779e-06   1.95139e-03    1.71714e-04    5.01469e-02                2
      268    1.03532e-05   1.95121e-03    9.26396e-05    3.99134e-03               14
      269    1.10515e-05   1.95117e-03    2.01164e-05    8.19345e-04               25
      270    7.95620e-06   1.95117e-03    1.85600e-06    6.64965e-05               36
      271    1.68260e-04   1.95117e-03    3.49576e-07    1.31532e-05               42
      272    5.27015e-04   1.95117e-03    1.55840e-08    5.45448e-07               68
      273    4.86514e-03   1.95117e-03    3.58123e-09    1.22387e-07               79
      274    6.17556e-06   1.95092e-03    1.26827e-04    1.46921e-02               36
      275    5.83894e-07   1.95092e-03    2.74535e-14    7.35851e-13              118
Local minimum possible, directional derivative smaller than tolerance
