Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
      150    5.17522e-06   5.41682e-05    7.49166e-03    3.63401e-02                9
      151    1.28228e-05   5.38205e-05    6.41833e-03    4.68209e-02                4
      152    2.31751e-06   5.33673e-05    8.42093e-03    3.65019e-02                9
      153    4.21545e-06   5.29868e-05    7.12909e-03    4.76637e-02                2
      154    8.77193e-06   5.25343e-05    8.53928e-03    6.73844e-02                3
      155    4.00647e-06   5.22567e-05    5.28440e-03    4.98848e-02                6
      156    4.92892e-06   5.15457e-05    1.36060e-02    4.72032e-02                3
      157    2.20617e-05   5.13322e-05    4.14258e-03    2.24130e-02                8
      158    8.74697e-06   5.09515e-05    7.41681e-03    5.04574e-02               11
      159    4.61542e-06   5.07566e-05    3.82486e-03    3.06085e-02                9
      160    4.12161e-06   5.07201e-05    7.19313e-04    9.02351e-03               13
      161    7.07834e-06   5.00893e-05    1.24369e-02    6.93825e-02                2
      162    1.69478e-05   4.99471e-05    2.83894e-03    1.62853e-02               10
      163    5.90806e-06   4.97276e-05    4.39424e-03    2.39198e-02               12
      164    1.40544e-05   4.94791e-05    4.99729e-03    3.74981e-02                6
      165    1.78779e-05   4.92120e-05    5.39836e-03    2.01991e-02               12
      166    1.37556e-05   4.89231e-05    5.87034e-03    4.70375e-02                9
      167    1.74246e-05   4.86876e-05    4.81392e-03    1.68059e-02               11
      168    4.76576e-06   4.84964e-05    3.92659e-03    1.73241e-02               12
      169    7.36771e-06   4.78081e-05    1.41934e-02    8.43485e-02                0
      170    6.07379e-05   4.73599e-05    9.37413e-03    5.42366e-02                3
      171    4.15736e-06   4.72806e-05    1.67485e-03    1.04285e-02               20
      172    4.00175e-06   4.59210e-05    2.87558e-02    5.14053e-02                3
      173    5.85522e-06   4.58873e-05    7.34916e-04    1.56964e-03               21
      174    1.04461e-05   4.58815e-05    1.26043e-04    2.74159e-04               31
      175    3.17296e-03   4.58808e-05    1.54882e-05    3.76840e-05               43
      176    3.17296e-03   4.58808e-05    0.00000e+00    6.96977e-20              176
Local minimum possible, relative step size smaller than tolerance
